#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1.66792, z2= 1.83296 (0.0001)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 2
9107.76     9107.76      1.00999e-05
9210.97     9107.76      -2.30673e-07
9210.97     9210.97      1.09124e-05
9314.18     9107.76      -6.94674e-07
9314.18     9210.97      -2.53752e-07
9314.18     9314.18      1.17889e-05
9417.39     9107.76      -4.04315e-07
9417.39     9210.97      -7.54884e-07
9417.39     9314.18      -2.78085e-07
9417.39     9417.39      1.27384e-05
9520.61     9107.76      -2.67101e-07
9520.61     9210.97      -4.39962e-07
9520.61     9314.18      -8.1809e-07
9520.61     9417.39      -3.02653e-07
9520.61     9520.61      1.37662e-05
9623.82     9107.76      -1.86882e-07
9623.82     9210.97      -2.90296e-07
9623.82     9314.18      -4.76618e-07
9623.82     9417.39      -8.8564e-07
9623.82     9520.61      -3.29289e-07
9623.82     9623.82      1.48781e-05
9727.03     9107.76      -1.51655e-07
9727.03     9210.97      -2.02624e-07
9727.03     9314.18      -3.14462e-07
9727.03     9417.39      -5.16171e-07
9727.03     9520.61      -9.58959e-07
9727.03     9623.82      -3.57857e-07
9727.03     9727.03      1.60815e-05
9830.24     9107.76      -1.18756e-07
9830.24     9210.97      -1.64252e-07
9830.24     9314.18      -2.19491e-07
9830.24     9417.39      -3.40754e-07
9830.24     9520.61      -5.58566e-07
9830.24     9623.82      -1.03782e-06
9830.24     9727.03      -3.89517e-07
9830.24     9830.24      1.73848e-05
9933.45     9107.76      -9.59428e-08
9933.45     9210.97      -1.28545e-07
9933.45     9314.18      -1.7797e-07
9933.45     9417.39      -2.37249e-07
9933.45     9520.61      -3.68576e-07
9933.45     9623.82      -6.05011e-07
9933.45     9727.03      -1.12376e-06
9933.45     9830.24      -4.23747e-07
9933.45     9933.45      1.87986e-05
10036.7     9107.76      -8.27395e-08
10036.7     9210.97      -1.0388e-07
10036.7     9314.18      -1.38595e-07
10036.7     9417.39      -1.92107e-07
10036.7     9520.61      -2.56913e-07
10036.7     9623.82      -3.99088e-07
10036.7     9727.03      -6.54992e-07
10036.7     9830.24      -1.21627e-06
10036.7     9933.45      -4.61339e-07
10036.7     10036.7      2.03302e-05
10139.9     9107.76      -6.93872e-08
10139.9     9210.97      -8.8867e-08
10139.9     9314.18      -1.11723e-07
10139.9     9417.39      -1.49864e-07
10139.9     9520.61      -2.0773e-07
10139.9     9623.82      -2.77792e-07
10139.9     9727.03      -4.31347e-07
10139.9     9830.24      -7.0939e-07
10139.9     9933.45      -1.31802e-06
10139.9     10036.7      -5.02509e-07
10139.9     10139.9      2.19928e-05
10243.1     9107.76      -6.62343e-08
10243.1     9210.97      -7.42605e-08
10243.1     9314.18      -9.5861e-08
10243.1     9417.39      -1.20492e-07
10243.1     9520.61      -1.61597e-07
10243.1     9623.82      -2.23785e-07
10243.1     9727.03      -3.00507e-07
10243.1     9830.24      -4.6754e-07
10243.1     9933.45      -7.68511e-07
10243.1     10036.7      -1.42822e-06
10243.1     10139.9      -5.47915e-07
10243.1     10243.1      2.3799e-05
10346.3     9107.76      -5.35833e-08
10346.3     9210.97      -7.12572e-08
10346.3     9314.18      -7.97876e-08
10346.3     9417.39      -1.02928e-07
10346.3     9520.61      -1.29072e-07
10346.3     9623.82      -1.74337e-07
10346.3     9727.03      -2.42296e-07
10346.3     9830.24      -3.25089e-07
10346.3     9933.45      -5.06363e-07
10346.3     10036.7      -8.33044e-07
10346.3     10139.9      -1.54919e-06
10346.3     10243.1      -5.97826e-07
10346.3     10346.3      2.5766e-05
10449.5     9107.76      -4.75123e-08
10449.5     9210.97      -5.73225e-08
10449.5     9314.18      -7.61652e-08
10449.5     9417.39      -8.48201e-08
10449.5     9520.61      -1.10564e-07
10449.5     9623.82      -1.39417e-07
10449.5     9727.03      -1.87999e-07
