#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
9684.33     9684.33      0.0067206
9684.33     9775.78      -0.000768739
9684.33     9867.22      -0.000160602
9684.33     9958.67      2.66334e-05
9684.33     10050.1      2.49697e-05
9684.33     10141.6      9.05619e-06
9684.33     10233      4.98843e-06
9684.33     10324.5      2.38253e-06
9684.33     10415.9      -1.94208e-06
9684.33     10507.3      1.13775e-06
9684.33     10598.8      -3.04133e-07
9684.33     10690.2      -2.45758e-07
9684.33     10781.7      1.59584e-06
9684.33     10873.1      -6.63966e-07
9684.33     10964.6      -3.81579e-07
9684.33     11056      7.53982e-07
9684.33     11147.5      1.37142e-07
9684.33     11238.9      6.14345e-09
9684.33     11330.3      5.23115e-07
9684.33     11421.8      -2.49932e-07
9684.33     11513.2      -5.83404e-08
9684.33     11604.7      1.92225e-07
9684.33     11696.1      -1.93832e-07
9684.33     11787.6      2.74947e-07
9684.33     11879      -2.51201e-08
9684.33     11970.5      6.23275e-08
9684.33     12061.9      1.02999e-07
9684.33     12153.4      -3.55495e-07
9684.33     12244.8      -1.22562e-08
9684.33     12336.2      -2.49263e-07
9684.33     12427.7      3.11028e-08
9684.33     12519.1      1.09246e-08
9684.33     12610.6      4.09847e-08
9684.33     12702      1.05871e-07
9684.33     12793.5      5.86653e-08
9684.33     12884.9      1.13631e-07
9684.33     12976.4      -3.39466e-08
9684.33     13067.8      -1.325e-08
9684.33     13159.3      1.61615e-09
9684.33     13250.7      -8.44728e-09
9684.33     13342.1      -1.29912e-07
9684.33     13433.6      3.51895e-08
9684.33     13525      -2.02099e-08
9684.33     13616.5      -1.20243e-08
9684.33     13707.9      2.62521e-08
9684.33     13799.4      3.5362e-09
9684.33     13890.8      -2.73715e-09
9684.33     13982.3      -4.08441e-09
9684.33     14073.7      4.08713e-09
9684.33     14165.2      0.208569
9775.78     9684.33      -0.000768739
9775.78     9775.78      0.00713339
