#First two columns are conformal time, the other three columns are tau0*tau0*r*Dl*Window1*Window2
#tau1     tau2      D2_integrand      D9_integrand      D42_integrand
12216.4      11360.1      0      0      0
12208.5      11348.8      -1.57826e-11      3.11735e-12      4.45905e-14
12200.7      11337.6      -1.90959e-11      3.85151e-12      -2.91195e-14
12192.9      11326.3      -2.30301e-11      4.78261e-12      -1.59335e-13
12185.1      11315.1      -2.7745e-11      5.98084e-12      -2.79033e-13
12177.3      11303.8      -3.33625e-11      7.36263e-12      -4.49996e-13
12169.5      11292.6      -3.98253e-11      9.22597e-12      -4.71768e-13
12161.7      11281.3      -4.78863e-11      1.1144e-11      -8.64057e-13
12153.9      11270.1      -5.712e-11      1.37999e-11      -9.84747e-13
12146      11258.8      -6.83988e-11      1.68163e-11      -1.32017e-12
12138.2      11247.6      -8.16902e-11      2.04853e-11      -1.51152e-12
12130.4      11236.4      -9.76721e-11      2.45308e-11      -1.77993e-12
12122.6      11225.1      -1.16926e-10      2.92941e-11      -2.22872e-12
12114.8      11213.9      -1.38681e-10      3.5173e-11      -1.79823e-12
12107      11202.6      -1.65359e-10      4.09415e-11      -2.5288e-12
12099.2      11191.4      -1.96221e-10      4.86969e-11      -2.40855e-12
12091.3      11180.1      -2.33367e-10      5.66901e-11      -2.46254e-12
12083.5      11168.9      -2.76048e-10      6.71618e-11      -1.41e-12
12075.7      11157.6      -3.2727e-10      7.80026e-11      -6.00479e-13
12067.9      11146.4      -3.87883e-10      8.91856e-11      -6.26143e-13
12060.1      11135.1      -4.56858e-10      1.04343e-10      1.87175e-12
12052.3      11123.9      -5.39686e-10      1.19033e-10      2.32387e-12
12044.5      11112.6      -6.32979e-10      1.37837e-10      4.7422e-12
12036.7      11101.4      -7.45361e-10      1.55133e-10      4.07963e-12
12028.8      11090.2      -8.69099e-10      1.808e-10      9.13373e-12
12021      11078.9      -1.01468e-09      2.0931e-10      1.49215e-11
12013.2      11067.7      -1.18384e-09      2.38065e-10      1.83352e-11
12005.4      11056.4      -1.37096e-09      2.74628e-10      2.64986e-11
11997.6      11045.2      -1.59236e-09      3.11206e-10      2.79274e-11
11989.8      11033.9      -1.83022e-09      3.64324e-10      4.46615e-11
11982      11022.7      -2.12284e-09      4.03439e-10      4.02816e-11
11974.1      11011.4      -2.4408e-09      4.65662e-10      4.69795e-11
11966.3      11000.2      -2.79832e-09      5.30499e-10      5.56365e-11
11958.5      10988.9      -3.20707e-09      5.99991e-10      5.00041e-11
11950.7      10977.7      -3.65105e-09      6.92489e-10      5.87771e-11
11942.9      10966.4      -4.17308e-09      7.76975e-10      3.5255e-11
11935.1      10955.2      -4.7113e-09      9.35489e-10      5.06039e-11
11927.3      10943.9      -5.35544e-09      1.05813e-09      1.65461e-11
11919.5      10932.7      -6.05407e-09      1.23108e-09      -1.12151e-11
11911.6      10921.5      -6.83267e-09      1.42723e-09      -3.34229e-11
11903.8      10910.2      -7.68767e-09      1.62108e-09      -7.23825e-11
11896      10899      -8.60298e-09      1.8827e-09      -8.57055e-11
11888.2      10887.7      -9.715e-09      2.08011e-09      -2.00584e-10
11880.4      10876.5      -1.07853e-08      2.45187e-09      -1.77098e-10
11872.6      10865.2      -1.20656e-08      2.77924e-09      -2.33847e-10
11864.8      10854      -1.34125e-08      3.1437e-09      -2.62516e-10
11856.9      10842.7      -1.4899e-08      3.52341e-09      -2.82943e-10
11849.1      10831.5      -1.65398e-08      3.91836e-09      -3.21813e-10
11841.3      10820.2      -1.81581e-08      4.50516e-09      -1.72118e-10
11833.5      10809      -2.0266e-08      4.82398e-09      -3.40446e-10
11825.7      10797.7      -2.23029e-08      5.37101e-09      -2.75641e-10
11817.9      10786.5      -2.4618e-08      5.83016e-09      -3.01106e-10
11810.1      10775.3      -2.70494e-08      6.43008e-09      -2.3302e-10
11802.3      10764      -2.96617e-08      6.97867e-09      -1.08112e-10
11794.4      10752.8      -3.25941e-08      7.39881e-09      -1.88014e-10
11786.6      10741.5      -3.53466e-08      8.22122e-09      1.44745e-10
11778.8      10730.3      -3.86317e-08      8.65779e-09      1.04554e-10
11771      10719      -4.19112e-08      9.40109e-09      2.64853e-10
11763.2      10707.8      -4.55883e-08      9.9048e-09      2.84081e-10
11755.4      10696.5      -4.9214e-08      1.05367e-08      3.87174e-10
11747.6      10685.3      -5.29236e-08      1.11842e-08      5.66503e-10
11739.7      10674      -5.70343e-08      1.13211e-08      3.13456e-10
